job_title,job_description,skills_extracted,location,experience,role_category,source_dataset
Senior Data Scientist,"python, MLT, statistical modeling, machine learning, IT Skills, advanced analytics, scala, statistics","python, MLT, statistical modeling, machine learning, IT Skills, advanced analytics, scala, statistics","Bangalore/Bengaluru, Mumbai (All Areas)",3-6,Data Science,Naukri
Senior Data Scientist,"Data Science, Machine learning, Python, Azure, BiqQuery, GCP, PySpark, tensorflow","Data Science, Machine learning, Python, Azure, BiqQuery, GCP, PySpark, tensorflow",Bangalore/Bengaluru,5-9,Data Science,Naukri
Applied Data Scientist / ML Senior Engineer (Python / SQL),"Python, IT Skills, Testing, Cloud, Product Management, SAP, Cloud computing, NLP","Python, IT Skills, Testing, Cloud, Product Management, SAP, Cloud computing, NLP",Bangalore/Bengaluru,5-10,Data Science,Naukri
Data Scientist,"python, machine learning, Data Science, data analysis, aws, azure","python, machine learning, Data Science, data analysis, aws, azure","Bangalore/Bengaluru, Mumbai (All Areas)",1-4,Data Science,Naukri
Data Scientist,"IT Skills, Python, Data Science, Machine Learning, Big Data, Computer science, Computer vision, deep learning","IT Skills, Python, Data Science, Machine Learning, Big Data, Computer science, Computer vision, deep learning",Bangalore/Bengaluru,4-8,Data Science,Naukri
Principal Data Scientist,"Data Science, oral communication, Shell, Python, Unix, written, Big Data, machine learning","Data Science, oral communication, Shell, Python, Unix, written, Big Data, machine learning",Bangalore/Bengaluru,7-12,Data Science,Naukri
Data Scientist,"Computer science, cassandra, Machine learning, Agile, Data structures, Open source, Distribution system, Analytics","Computer science, cassandra, Machine learning, Agile, Data structures, Open source, Distribution system, Analytics",Bangalore/Bengaluru,4-8,Data Science,Naukri
Expert Data Scientist,"team lead, MLT, machine learning, aws, Python, IT Skills, Testing, Data Science","team lead, MLT, machine learning, aws, Python, IT Skills, Testing, Data Science","Bangalore/Bengaluru, Mumbai (All Areas)",6-9,Data Science,Naukri
Data Scientist,"Graphics, Bidding, Google Analytics, Data management, Social networking, Google AdWords, HTML, Business intelligence","Graphics, Bidding, Google Analytics, Data management, Social networking, Google AdWords, HTML, Business intelligence",Bangalore/Bengaluru,10-20,Data Science,Naukri
Sr Data Scientist / Lead Data Scientist | GeakMinds | Chennai,"Machine Learning, Python, Tableau, Azure, GCP, data mining, Data analysis, SQL","Machine Learning, Python, Tableau, Azure, GCP, data mining, Data analysis, SQL",Chennai,5-9,Data Science,Naukri
Senior Data Scientist - Machine Learning,"Machine learning, IT Skills, Java, Python, Software Development, Data Science, NLP, Open Source","Machine learning, IT Skills, Java, Python, Software Development, Data Science, NLP, Open Source","Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru, Any Location",7-12,Data Science,Naukri
Data Scientist / Senior Data Scientist,"Time series forecasting, Machine Learning, Sql, Python, CNN, RNN, un- supervised learning, supervised learning","Time series forecasting, Machine Learning, Sql, Python, CNN, RNN, un- supervised learning, supervised learning","Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",2-7,Data Science,Naukri
Sr Data Scientist,"Computer science, C++, Artificial Intelligence, Machine learning, SCALA, Agile, Data structures, Scrum","Computer science, C++, Artificial Intelligence, Machine learning, SCALA, Agile, Data structures, Scrum",Bangalore/Bengaluru,2-7,Data Science,Naukri
Senior Data Scientist,"database knowledge, R, Statistical Programming, Python, IT Skills, Machine Learning, Mathematics and Science background, SAS","database knowledge, R, Statistical Programming, Python, IT Skills, Machine Learning, Mathematics and Science background, SAS",Bangalore/Bengaluru(Whitefield),3-6,Data Science,Naukri
Senior Data Scientist,"Computer science, Computer vision, Operations research, Product engineering, data science, Coding, Machine learning, Information retrieval","Computer science, Computer vision, Operations research, Product engineering, data science, Coding, Machine learning, Information retrieval",Bangalore/Bengaluru,2-4,Data Science,Naukri
Lead Python Data Scientist,"CI / CD, Algorithms, Data Science, NoSQL, Data Structure, Python, Azure, AWS","CI / CD, Algorithms, Data Science, NoSQL, Data Structure, Python, Azure, AWS",Bangalore/Bengaluru,8-12,Data Science,Naukri
Senior Data Scientist Grade12,"Computer vision, GIT, Machine learning, JIRA, Python, deep learning, data science, Neural networks","Computer vision, GIT, Machine learning, JIRA, Python, deep learning, data science, Neural networks",Bangalore/Bengaluru,5-10,Data Science,Naukri
