company_name,rating,reviews,jobs,interviews,highly_rated_for,critically_rated_for
TCS,3.7,82.7k,37,9.8k,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Accenture,3.9,51.5k,32.7k,7.5k,"Company Culture, Job Security, Skill Development / Learning",Promotions / Appraisal
Cognizant,3.8,46.4k,1.3k,5.3k,,"Promotions / Appraisal, Salary & Benefits"
Wipro,3.7,46.3k,595,5.1k,Job Security,"Promotions / Appraisal, Salary & Benefits"
Capgemini,3.8,38.2k,1.2k,4.5k,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
HDFC Bank,3.9,37k,169,2k,"Job Security, Skill Development / Learning",Promotions / Appraisal
ICICI Bank,4.0,36.3k,1,2.3k,"Job Security, Skill Development / Learning, Company Culture",
Infosys,3.7,35.7k,1.1k,7.2k,"Job Security, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
HCLTech,3.6,33k,179,3.6k,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Tech Mahindra,3.6,30.3k,446,3.4k,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Genpact,3.9,28.8k,1.5k,2.8k,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Teleperformance,3.9,26.5k,321,1.7k,"Skill Development / Learning, Company Culture, Job Security",
Concentrix Corporation,3.8,24.7k,47,1.5k,Job Security,"Promotions / Appraisal, Salary & Benefits"
Axis Bank,3.8,23.9k,102,1.4k,,Promotions / Appraisal
Amazon,4.1,23.8k,101,4.8k,"Company Culture, Salary & Benefits, Work Life Balance",
Jio,3.9,21.5k,772,1.5k,"Job Security, Skill Development / Learning",Promotions / Appraisal
Reliance Retail,3.9,21k,23,1.4k,"Skill Development / Learning, Job Security",Promotions / Appraisal
IBM,4.1,20.9k,2.2k,2.3k,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal
iEnergizer,4.7,19.5k,72,442,"Company Culture, Job Security, Skill Development / Learning",
HDB Financial Services,4.0,19.2k,86,755,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal
Larsen & Toubro Limited,4.0,17.5k,162,1.3k,"Job Security, Skill Development / Learning, Salary & Benefits",
Deloitte,3.8,16.5k,60,2.7k,"Job Security, Skill Development / Learning, Salary & Benefits",Work Life Balance
BYJU'S,3.1,15.9k,--,2.1k,,"Job Security, Work Life Balance, Company Culture"
Kotak Mahindra Bank,3.8,15.4k,120,1k,Job Security,Promotions / Appraisal
LTIMindtree,3.5,15k,99,2.2k,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Reliance Industries,4.0,14.8k,31,1.2k,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
Vodafone Idea,4.1,14.8k,18,530,"Company Culture, Work Life Balance, Salary & Benefits",
Bharti Airtel,4.0,12.9k,178,788,"Skill Development / Learning, Salary & Benefits, Job Security",Promotions / Appraisal
Tata Motors,4.2,11.2k,16,950,"Job Security, Skill Development / Learning, Company Culture",
WNS,3.4,10.4k,98,926,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Flipkart,4.0,10.2k,154,1.3k,"Skill Development / Learning, Company Culture, Job Security",
IndusInd Bank,3.6,10.1k,93,555,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Ernst & Young,3.5,9.8k,2k,1.1k,,"Work Life Balance, Work Satisfaction, Promotions / Appraisal"
IDFC FIRST Bank,4.0,9.4k,44,591,"Salary & Benefits, Skill Development / Learning, Job Security",
DXC Technology,3.7,9.4k,161,777,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
Mahindra & Mahindra,4.1,9.4k,56,650,"Job Security, Skill Development / Learning, Company Culture",
AU Small Finance Bank,4.3,9.4k,14,391,"Skill Development / Learning, Job Security, Company Culture",
Infosys BPM,3.8,9k,79,896,"Job Security, Skill Development / Learning, Company Culture","Salary & Benefits, Promotions / Appraisal"
Bajaj Finserv,4.0,8.5k,33,478,"Salary & Benefits, Skill Development / Learning, Job Security",
HDFC Life,4.0,8.4k,81,566,"Skill Development / Learning, Job Security, Company Culture",
Conneqt Business Solutions,3.7,8.3k,46,428,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
PwC,3.5,8.3k,2.1k,1.3k,,"Work Life Balance, Promotions / Appraisal, Work Satisfaction"
Mphasis,3.4,7.7k,112,756,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
HSBC Group,4.0,7.2k,118,507,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Yes Bank,3.8,7.1k,72,399,,
Maruti Suzuki,4.2,7.1k,698,567,"Job Security, Salary & Benefits, Skill Development / Learning",
Startek,3.2,7k,69,429,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Paytm,3.3,7k,41,722,,"Job Security, Promotions / Appraisal, Company Culture"
Asian Paints,4.0,6.9k,37,607,"Salary & Benefits, Skill Development / Learning, Job Security",
Bandhan Bank,3.8,6.9k,9,497,Job Security,"Promotions / Appraisal, Work Satisfaction"
Samsung,4.0,6.9k,2,518,"Salary & Benefits, Work Life Balance, Job Security",Promotions / Appraisal
Ericsson,4.2,6.8k,3,386,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Hinduja Global Solutions,3.9,6.7k,12,226,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Shriram Finance,4.1,6.7k,22,310,"Job Security, Work Life Balance, Skill Development / Learning",
Quess,3.9,6.7k,46,372,Work Life Balance,Promotions / Appraisal
EXL Service,3.8,6.6k,385,688,Job Security,"Promotions / Appraisal, Salary & Benefits"
Cipla,4.1,6.5k,66,458,"Skill Development / Learning, Salary & Benefits, Work Life Balance",
UltraTech Cement,4.2,6.4k,78,514,"Job Security, Skill Development / Learning, Company Culture",
NTT DATA,4.0,6.4k,56,653,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Dr. Reddy's,4.1,6.4k,31,373,"Skill Development / Learning, Company Culture, Work Life Balance",
Sutherland Global Services,3.7,6.4k,156,571,,"Promotions / Appraisal, Salary & Benefits"
Tata Steel,4.2,6.3k,24,765,"Job Security, Skill Development / Learning, Work Life Balance",
Bajaj Finance,4.0,6.2k,20,287,"Salary & Benefits, Skill Development / Learning, Job Security",
ICICI Prudential Life Insurance,4.1,5.9k,29,354,"Job Security, Salary & Benefits, Skill Development / Learning",
Wells Fargo,3.9,5.9k,38,516,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Jana Small Finance Bank,3.8,5.8k,56,232,,
Amazon Development Centre India,4.1,5.8k,14,651,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
